date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:11:25	10437/10437	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620b48f0-28c5%22	http://122.237.100.193/js/videojs-http-source-selector.js	C:/Mes%20Sites%20Web/load/122.237.100.193/js/videojs-http-source-selector.js	(from http://122.237.100.193/)
17:11:31	258365/258365	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620b48f0-3f13d%22	http://122.237.100.193/js/videojs-contrib-hls.js	C:/Mes%20Sites%20Web/load/122.237.100.193/js/videojs-contrib-hls.js	(from http://122.237.100.193/)
17:11:32	134949/134949	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620b48f2-20f25%22	http://122.237.100.193/js/aG3IMhIy.js	C:/Mes%20Sites%20Web/load/122.237.100.193/js/aG3IMhIy.js	(from http://122.237.100.193/)
17:11:33	19230/19230	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620b48f1-4b1e%22	http://122.237.100.193/js/jwplayer.hlsjs.min.js	C:/Mes%20Sites%20Web/load/122.237.100.193/js/jwplayer.hlsjs.min.js	(from http://122.237.100.193/)
17:11:34	45946/45946	---MCZ	200	added ('OK')	text/css	etag:W/%22620b48f3-b37a%22	http://122.237.100.193/css/DPlayer.min.css	C:/Mes%20Sites%20Web/load/122.237.100.193/css/DPlayer.min.css	(from http://122.237.100.193/)
17:11:37	285085/285085	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620b48f0-4599d%22	http://122.237.100.193/js/videojs-hlsjs-plugin.js	C:/Mes%20Sites%20Web/load/122.237.100.193/js/videojs-hlsjs-plugin.js	(from http://122.237.100.193/)
17:11:38	24868/24868	---MCZ	200	added ('OK')	text/css	etag:W/%22620b48f3-6124%22	http://122.237.100.193/css/plyr.css	C:/Mes%20Sites%20Web/load/122.237.100.193/css/plyr.css	(from http://122.237.100.193/)
17:11:38	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Dec%202024%2016:11:38%20GMT	http://122.237.100.193/css/mejs-controls.svg	C:/Mes%20Sites%20Web/load/122.237.100.193/css/mejs-controls.svg	(from http://122.237.100.193/css/mediaelementplayer.min.css)
17:11:39	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Dec%202024%2016:11:39%20GMT	http://122.237.100.193/css/icons/flowplayer.eot?	C:/Mes%20Sites%20Web/load/122.237.100.193/css/icons/flowplayerd41d.eot	(from http://122.237.100.193/css/skin.css)
17:11:39	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Dec%202024%2016:11:39%20GMT	http://122.237.100.193/css/icons/flowplayer.woff2	C:/Mes%20Sites%20Web/load/122.237.100.193/css/icons/flowplayer.woff2	(from http://122.237.100.193/css/skin.css)
17:11:39	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Dec%202024%2016:11:39%20GMT	http://122.237.100.193/css/icons/flowplayer.woff	C:/Mes%20Sites%20Web/load/122.237.100.193/css/icons/flowplayer.woff	(from http://122.237.100.193/css/skin.css)
17:11:40	130481/130481	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620b48f1-1fdb1%22	http://122.237.100.193/js/plyr.js	C:/Mes%20Sites%20Web/load/122.237.100.193/js/plyr.js	(from http://122.237.100.193/)
17:11:40	173698/173698	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620b48f2-2a682%22	http://122.237.100.193/js/dplayer.js	C:/Mes%20Sites%20Web/load/122.237.100.193/js/dplayer.js	(from http://122.237.100.193/)
17:11:54	2072357/2072357	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620b48f1-1f9f25%22	http://122.237.100.193/js/video.js	C:/Mes%20Sites%20Web/load/122.237.100.193/js/video.js	(from http://122.237.100.193/)
